file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\BaseStoreFactory.java,com.corundumstudio.socketio.store.pubsub.BaseStoreFactory.3,0.0,-1.0,6.0,0.0,0.0,-1.0,3.0,anonymous,1,0,3,,0.0,7,0,6,0,0,1,1
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\SocketConfig.java,com.corundumstudio.socketio.SocketConfig,0.0,-1.0,0.0,14.0,1.0,-1.0,0.0,class,1,2,0,0.07692308,0.85714287,51,0,0,0,7,14,14
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckManager.java,com.corundumstudio.socketio.ack.AckManager.AckEntry,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,innerclass,1,0,1,1.0,0.4,21,0,7,0,2,5,5
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\SocketIOChannelInitializer.java,com.corundumstudio.socketio.SocketIOChannelInitializer.1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,2,,0.0,5,0,0,0,0,1,1
C:\Users\sugii syuji\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\EncoderBaseTest.java,com.corundumstudio.socketio.parser.EncoderBaseTest,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,class,1,4,3,-1.0,,3,4,0,0,1,0,0
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\AuthorizeHandler.java,com.corundumstudio.socketio.handler.AuthorizeHandler.1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,0,,0.0,6,0,4,0,0,1,1
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\SuccessAuthorizationListener.java,com.corundumstudio.socketio.handler.SuccessAuthorizationListener,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,class,1,1,2,,0.0,5,0,0,0,0,1,1
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\listener\ExceptionListenerAdapter.java,com.corundumstudio.socketio.listener.ExceptionListenerAdapter,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,class,1,1,3,0.0,0.0,13,1,0,0,0,5,5
C:\Users\sugii syuji\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\EncoderConnectionPacketTest.java,com.corundumstudio.socketio.parser.EncoderConnectionPacketTest,0.0,0.0,9.0,0.0,0.0,-1.0,3.0,class,2,0,4,0.0,0.0,22,0,4,0,0,4,4
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\HazelcastPubSubStore.java,com.corundumstudio.socketio.store.HazelcastPubSubStore.1,0.0,0.0,3.0,0.0,0.0,-1.0,2.0,anonymous,1,0,3,,0.0,8,0,4,0,0,1,2
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\PacketsMessage.java,com.corundumstudio.socketio.messages.PacketsMessage,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,class,1,3,3,1.0,0.5,19,0,0,0,3,4,4
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\MultiTypeArgs.java,com.corundumstudio.socketio.MultiTypeArgs,0.0,-1.0,1.0,3.0,0.75,-1.0,1.0,class,1,6,2,0.35714287,0.375,31,0,5,0,1,8,10
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\JacksonJsonSupport.java,com.corundumstudio.socketio.protocol.JacksonJsonSupport.EventKey,0.0,-1.0,2.0,6.0,0.75,-1.0,1.0,innerclass,1,0,1,1.0,0.0,31,0,3,0,2,3,14
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\BaseStoreFactory.java,com.corundumstudio.socketio.store.pubsub.BaseStoreFactory.5,0.0,-1.0,6.0,0.0,0.0,-1.0,3.0,anonymous,1,0,3,,0.0,7,0,6,0,0,1,1
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\HazelcastStoreFactory.java,com.corundumstudio.socketio.store.HazelcastStoreFactory,1.0,0.25,1.0,2.0,0.6666667,0.0,1.0,class,2,0,8,0.71428573,0.5,35,0,4,0,4,7,7
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\BaseStoreFactory.java,com.corundumstudio.socketio.store.pubsub.BaseStoreFactory.4,0.0,-1.0,6.0,0.0,0.0,-1.0,3.0,anonymous,1,0,3,,0.0,7,0,6,0,0,1,1
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\PacketEncoder.java,com.corundumstudio.socketio.protocol.PacketEncoder,0.0,-1.0,49.0,12.0,0.19672132,-1.0,7.0,class,1,6,11,0.10909091,0.8831168,246,0,47,0,11,14,62
C:\Users\sugii syuji\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\DecoderAckPacketTest.java,com.corundumstudio.socketio.parser.DecoderAckPacketTest.1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,2,,0.0,10,0,1,0,0,0,1
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\transport\NamespaceClient.java,com.corundumstudio.socketio.transport.NamespaceClient,0.0,-1.0,39.0,18.0,0.31578946,-1.0,7.0,class,1,6,12,0.60474306,0.7395833,118,0,42,0,4,24,37
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\BroadcastAckCallback.java,com.corundumstudio.socketio.BroadcastAckCallback,0.0,-1.0,5.0,2.0,0.2857143,-1.0,2.0,class,1,3,5,0.14285715,0.75,43,0,7,0,5,8,11
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\JacksonJsonSupport.java,com.corundumstudio.socketio.protocol.JacksonJsonSupport.ExBeanSerializerModifier,0.0,0.0,2.0,2.0,0.5,-1.0,2.0,innerclass,2,0,7,1.0,0.0,12,0,3,0,1,2,3
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\OnEventScanner.java,com.corundumstudio.socketio.annotation.OnEventScanner,0.0,-1.0,19.0,0.0,0.0,-1.0,8.0,class,1,2,8,0.0,0.0,115,0,18,0,0,5,18
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\TransportState.java,com.corundumstudio.socketio.handler.TransportState,0.0,-1.0,0.0,5.0,1.0,-1.0,0.0,class,1,1,2,0.33333334,0.5,18,0,0,0,2,4,4
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\OnEventScanner.java,com.corundumstudio.socketio.annotation.OnEventScanner.2,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,anonymous,1,0,3,,0.0,24,0,6,0,0,1,6
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\InPacketHandler.java,com.corundumstudio.socketio.handler.InPacketHandler,0.0,0.0,24.0,0.0,0.0,-1.0,7.0,class,2,2,16,1.0,0.4,61,0,27,0,5,3,13
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\OnConnectScanner.java,com.corundumstudio.socketio.annotation.OnConnectScanner,0.0,-1.0,7.0,0.0,0.0,-1.0,5.0,class,1,1,5,0.0,0.0,35,0,4,0,0,3,7
C:\Users\sugii syuji\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\DecoderBaseTest.java,com.corundumstudio.socketio.parser.DecoderBaseTest,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,class,1,5,5,,0.0,7,5,0,0,2,1,1
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\OutPacketMessage.java,com.corundumstudio.socketio.messages.OutPacketMessage,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,class,2,2,3,1.0,0.33333334,15,0,2,0,2,3,3
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\JacksonJsonSupport.java,com.corundumstudio.socketio.protocol.JacksonJsonSupport.AckArgsDeserializer,0.0,0.0,5.0,0.0,0.0,-1.0,5.0,innerclass,2,0,8,0.0,1.0,31,0,12,0,1,2,6
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\Packet.java,com.corundumstudio.socketio.protocol.Packet,0.0,-1.0,0.0,38.0,1.0,-1.0,0.0,class,1,29,4,0.8300395,0.8565217,98,0,11,0,10,23,28
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\RedissonStoreFactory.java,com.corundumstudio.socketio.store.RedissonStoreFactory,1.0,0.25,1.0,2.0,0.6666667,0.0,1.0,class,2,0,9,0.71428573,0.5,35,0,4,0,4,7,7
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\MemoryStore.java,com.corundumstudio.socketio.store.MemoryStore,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,class,1,1,2,1.0,0.0,15,0,5,0,1,4,4
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\Event.java,com.corundumstudio.socketio.protocol.Event,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,class,1,3,0,0.5,0.5,17,0,0,0,2,4,4
C:\Users\sugii syuji\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\EncoderAckPacketTest.java,com.corundumstudio.socketio.parser.EncoderAckPacketTest,0.0,0.0,6.0,0.0,0.0,-1.0,3.0,class,2,0,4,0.0,0.0,14,0,4,0,0,2,2
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\HazelcastStore.java,com.corundumstudio.socketio.store.HazelcastStore,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,class,1,1,4,1.0,0.0,18,0,6,0,1,5,5
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\AckCallback.java,com.corundumstudio.socketio.AckCallback,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,class,1,14,1,0.4,0.5833334,20,0,0,0,2,6,6
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\misc\CompositeIterable.java,com.corundumstudio.socketio.misc.CompositeIterable,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,class,1,4,3,1.0,0.125,28,0,3,0,2,4,7
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\annotation\OnDisconnectScanner.java,com.corundumstudio.socketio.annotation.OnDisconnectScanner.1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,anonymous,1,0,2,,0.0,13,0,2,0,0,1,3
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\namespace\NamespacesHub.java,com.corundumstudio.socketio.namespace.NamespacesHub,0.0,-1.0,4.0,1.0,0.2,-1.0,3.0,class,1,10,6,1.0,0.4166667,38,0,9,0,2,6,10
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\RedissonPubSubStore.java,com.corundumstudio.socketio.store.RedissonPubSubStore.1,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,anonymous,1,0,3,,0.0,7,0,3,0,0,1,2
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckManager.java,com.corundumstudio.socketio.ack.AckManager,0.0,-1.0,22.0,3.0,0.12,-1.0,9.0,class,1,10,13,0.4,0.6666667,118,0,28,1,3,9,21
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\EncoderHandler.java,com.corundumstudio.socketio.handler.EncoderHandler,0.0,0.0,69.0,10.0,0.12658228,-1.0,24.0,class,2,2,31,0.0,0.8090909,226,0,62,1,10,11,46
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\scheduler\HashedWheelTimeoutScheduler.java,com.corundumstudio.socketio.scheduler.HashedWheelTimeoutScheduler,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,class,1,2,7,0.53571427,0.6666667,76,0,8,0,3,9,12
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\namespace\EventEntry.java,com.corundumstudio.socketio.namespace.EventEntry,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,class,1,1,2,0.33333334,0.33333334,12,0,1,0,1,3,3
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\MemoryStoreFactory.java,com.corundumstudio.socketio.store.MemoryStoreFactory,1.0,0.4,2.0,1.0,0.33333334,0.0,2.0,class,2,1,7,0.0,0.8,17,0,3,0,1,5,5
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\BaseStoreFactory.java,com.corundumstudio.socketio.store.pubsub.BaseStoreFactory.1,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,anonymous,1,0,1,,0.0,5,0,2,0,0,1,1
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\SocketIOException.java,com.corundumstudio.socketio.handler.SocketIOException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,class,4,4,0,0.0,1.0,12,0,0,0,1,3,3
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\BroadcastOperations.java,com.corundumstudio.socketio.BroadcastOperations,0.0,-1.0,22.0,8.0,0.26666668,-1.0,7.0,class,1,5,11,0.7777778,0.45000002,82,0,25,0,2,10,22
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckSchedulerKey.java,com.corundumstudio.socketio.ack.AckSchedulerKey,0.0,0.6666667,2.0,5.0,0.71428573,-1.0,1.0,class,2,2,3,1.0,0.0,24,0,3,0,1,4,8
C:\Users\sugii syuji\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\DecoderConnectionPacketTest.java,com.corundumstudio.socketio.parser.DecoderConnectionPacketTest,2.0,0.0,9.0,0.0,0.0,0.0,2.0,class,2,0,4,0.0,0.0,20,0,4,0,0,4,4
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\ClientsBox.java,com.corundumstudio.socketio.handler.ClientsBox,0.0,-1.0,5.0,0.0,0.0,-1.0,2.0,class,1,7,3,0.42857143,0.5,29,0,9,0,2,7,8
C:\Users\sugii syuji\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\transport\WebSocketTransportTest.java,com.corundumstudio.socketio.transport.WebSocketTransportTest.1,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,1,,0.0,4,0,0,0,0,1,1
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\DisconnectMessage.java,com.corundumstudio.socketio.store.pubsub.DisconnectMessage,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,class,2,3,1,0.33333334,0.6666667,13,0,0,0,2,3,3
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\JacksonJsonSupport.java,com.corundumstudio.socketio.protocol.JacksonJsonSupport.ByteArraySerializer,0.0,0.0,7.0,0.0,0.0,-1.0,4.0,innerclass,2,0,11,0.10714286,0.8125,44,0,11,0,2,8,12
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\PacketDecoder.java,com.corundumstudio.socketio.protocol.PacketDecoder,0.0,-1.0,63.0,2.0,0.03076923,-1.0,12.0,class,1,11,14,0.0,0.90625,237,0,68,0,4,16,67
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\JsonSupportWrapper.java,com.corundumstudio.socketio.JsonSupportWrapper,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,class,1,2,9,1.0,0.2857143,45,0,11,0,2,7,10
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\DispatchMessage.java,com.corundumstudio.socketio.store.pubsub.DispatchMessage,0.0,0.0,0.0,3.0,1.0,-1.0,0.0,class,2,3,2,0.6,0.70000005,22,0,0,0,4,5,5
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\VoidAckCallback.java,com.corundumstudio.socketio.VoidAckCallback,2.0,0.5,0.0,0.0,-1.0,0.0,0.0,class,2,1,2,0.0,0.0,12,0,1,0,0,4,4
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\HttpMessage.java,com.corundumstudio.socketio.messages.HttpMessage,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,class,1,4,0,1.0,0.33333334,14,3,0,0,2,3,3
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\RedissonPubSubStore.java,com.corundumstudio.socketio.store.RedissonPubSubStore,0.0,-1.0,7.0,1.0,0.125,-1.0,3.0,class,1,1,8,0.6,0.55,46,0,11,0,4,5,8
C:\Users\sugii syuji\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\SocketIOServer.java,com.corundumstudio.socketio.SocketIOServer.1,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,anonymous,1,0,2,,0.0,10,0,4,0,0,1,2
