file,class,method_x,ATFD,ATLD,LAA,FDP,line,method_y,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JRMPClient.java,ysoserial.payloads.JRMPClient,getObject/1[java.lang.String],2.0,0.0,0.0,2.0,56,getObject/1[java.lang.String],1,0,2,19,1,8,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JRMPClient.java,ysoserial.payloads.JRMPClient,main/1[java.lang.String[]],2.0,1.0,0.33333334,2.0,80,main/1[java.lang.String[]],0,1,1,4,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,buildDeps/1[java.lang.Class],5.0,0.0,0.0,4.0,179,buildDeps/1[java.lang.Class>],1,1,3,15,1,2,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"checkPrecondition/2[java.lang.Class,java.lang.String]",1.0,0.0,0.0,1.0,172,"checkPrecondition/2[java.lang.Class>,java.lang.String]",1,0,1,4,1,1,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"deserializeWithDependencies/4[byte[],java.lang.String[],java.lang.Class[],java.lang.Class]",16.0,0.0,0.0,5.0,196,"deserializeWithDependencies/4[byte[],java.lang.String[],java.lang.Class[],java.lang.Class]",1,1,4,35,1,7,4,1,1,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"makeDeserializeCallable/5[ysoserial.payloads.annotation.PayloadTest,java.lang.Class[],java.lang.String[],byte[],java.lang.Class]",0.0,0.0,-1.0,0.0,161,"makeDeserializeCallable/5[ysoserial.payloads.annotation.PayloadTest,java.lang.Class[],java.lang.String[],byte[],java.lang.Class]",1,1,1,8,1,0,5,0,1,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"makeSerializeCallable/2[java.lang.Class,java.lang.String]",1.0,0.0,0.0,1.0,147,"makeSerializeCallable/2[java.lang.Class>,java.lang.String]",1,1,1,12,1,0,2,0,1,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,payloads/0,3.0,0.0,0.0,3.0,59,payloads/0,0,1,1,5,1,1,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,testPayload/0,0.0,1.0,1.0,0.0,74,testPayload/0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"testPayload/2[java.lang.Class,java.lang.Class[]]",11.0,1.0,0.083333336,9.0,79,"testPayload/2[java.lang.Class>,java.lang.Class[]]",4,17,13,54,1,12,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,PayloadsTest/1[java.lang.Class],0.0,1.0,1.0,0.0,68,PayloadsTest/1[java.lang.Class>],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JSF.java,ysoserial.exploit.JSF,main/1[java.lang.String[]],10.0,0.0,0.0,6.0,37,main/1[java.lang.String[]],0,2,4,32,0,9,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest$163,call/0,0.0,0.0,-1.0,0.0,165,call/0,0,13,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss$208,handle/1[javax.security.auth.callback.Callback[]],2.0,0.0,0.0,2.0,210,handle/1[javax.security.auth.callback.Callback[]],0,0,6,14,0,0,1,1,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\CustomPayloadArgs.java,ysoserial.CustomPayloadArgs,getPayloadArgs/0,0.0,0.0,-1.0,0.0,11,getPayloadArgs/0,1,0,1,1,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,getObject/1[java.lang.String],4.0,0.0,0.0,4.0,35,getObject/1[java.lang.String],0,4,1,11,1,7,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,isApplicableJavaVersion/0,0.0,0.0,-1.0,0.0,65,isApplicableJavaVersion/0,0,1,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,main/1[java.lang.String[]],0.0,1.0,1.0,0.0,61,main/1[java.lang.String[]],0,1,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JavassistWeld1.java,ysoserial.payloads.JavassistWeld1$67,createFor/1[org.jboss.weld.interceptor.spi.metadata.InterceptorReference],0.0,0.0,-1.0,0.0,69,createFor/1[ysoserial.payloads.InterceptorReference],0,0,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\exploit\RMIRegistryExploitTest.java,ysoserial.exploit.RMIRegistryExploitTest,createRegistry/1[int],0.0,0.0,-1.0,0.0,8,createRegistry/1[int],1,0,1,3,0,1,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\exploit\RMIRegistryExploitTest.java,ysoserial.exploit.RMIRegistryExploitTest,main/1[java.lang.String[]],1.0,0.0,0.0,1.0,12,main/1[java.lang.String[]],0,1,4,6,0,2,1,1,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JRMPClient.java,ysoserial.exploit.JRMPClient$MarshalOutputStream,annotateClass/1[java.lang.Class],3.0,1.0,0.25,2.0,113,annotateClass/1[java.lang.Class],1,0,4,16,0,2,1,1,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JRMPClient.java,ysoserial.exploit.JRMPClient$MarshalOutputStream,annotateProxyClass/1[java.lang.Class],0.0,0.0,-1.0,0.0,135,annotateProxyClass/1[java.lang.Class],0,1,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JRMPClient.java,ysoserial.exploit.JRMPClient$MarshalOutputStream,MarshalOutputStream/1[java.io.OutputStream],0.0,0.0,-1.0,0.0,108,MarshalOutputStream/1[java.io.OutputStream],2,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JRMPClient.java,ysoserial.exploit.JRMPClient$MarshalOutputStream,"MarshalOutputStream/2[java.io.OutputStream,java.net.URL]",0.0,1.0,1.0,0.0,103,"MarshalOutputStream/2[java.io.OutputStream,java.net.URL]",1,0,1,4,0,0,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Jython1.java,ysoserial.payloads.Jython1,getObject/1[java.lang.String],6.0,0.0,0.0,4.0,48,getObject/1[java.lang.String],0,1,2,19,1,10,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Jython1.java,ysoserial.payloads.Jython1,main/1[java.lang.String[]],0.0,1.0,1.0,0.0,105,main/1[java.lang.String[]],0,1,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss$ConnectionProviderContextImpl$385,newThread/1[java.lang.Runnable],1.0,0.0,0.0,1.0,387,newThread/1[java.lang.Runnable],0,0,1,5,1,1,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ROME.java,ysoserial.payloads.ROME,getObject/1[java.lang.String],2.0,0.0,0.0,2.0,35,getObject/1[java.lang.String],0,2,1,6,1,3,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ROME.java,ysoserial.payloads.ROME,main/1[java.lang.String[]],0.0,1.0,1.0,0.0,43,main/1[java.lang.String[]],0,1,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsBeanutils1.java,ysoserial.payloads.CommonsBeanutils1,getObject/1[java.lang.String],2.0,0.0,0.0,1.0,19,getObject/1[java.lang.String],0,3,1,12,1,4,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsBeanutils1.java,ysoserial.payloads.CommonsBeanutils1,main/1[java.lang.String[]],0.0,1.0,1.0,0.0,41,main/1[java.lang.String[]],0,1,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss$ConnectionProviderContextImpl,accept/1[org.jboss.remoting3.spi.ConnectionHandlerFactory],0.0,0.0,-1.0,0.0,416,accept/1[ysoserial.exploit.ConnectionHandlerFactory],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss$ConnectionProviderContextImpl,getEndpoint/0,0.0,1.0,1.0,0.0,411,getEndpoint/0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss$ConnectionProviderContextImpl,getExecutor/0,0.0,1.0,1.0,0.0,406,getExecutor/0,1,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss$ConnectionProviderContextImpl,getXnio/0,0.0,1.0,1.0,0.0,401,getXnio/0,1,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss$ConnectionProviderContextImpl,getXnioWorker/0,0.0,1.0,1.0,0.0,396,getXnioWorker/0,1,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss$ConnectionProviderContextImpl,"ConnectionProviderContextImpl/2[org.xnio.OptionMap,java.lang.String]",2.0,5.0,0.71428573,2.0,380,"ConnectionProviderContextImpl/2[ysoserial.exploit.OptionMap,java.lang.String]",1,1,1,13,0,0,2,0,1,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest$148,call/0,1.0,0.0,0.0,1.0,150,call/0,0,13,1,7,1,3,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\FileUploadTest.java,ysoserial.payloads.FileUploadTest,getPayloadArgs/0,2.0,0.0,0.0,1.0,67,getPayloadArgs/0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\FileUploadTest.java,ysoserial.payloads.FileUploadTest,run/1[java.util.concurrent.Callable],0.0,3.0,1.0,0.0,42,run/1[java.util.concurrent.Callable],0,0,4,24,0,1,1,2,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\FileUploadTest.java,ysoserial.payloads.FileUploadTest,FileUploadTest/0,0.0,2.0,1.0,0.0,31,FileUploadTest/0,0,0,2,9,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JRMPClassLoadingListener.java,ysoserial.exploit.JRMPClassLoadingListener,main/1[java.lang.String[]],3.0,0.0,0.0,3.0,30,main/1[java.lang.String[]],0,2,3,17,1,2,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets$StubTransletPayload,"transform/3[com.sun.org.apache.xalan.internal.xsltc.DOM,com.sun.org.apache.xml.internal.dtm.DTMAxisIterator,com.sun.org.apache.xml.internal.serializer.SerializationHandler]",0.0,0.0,-1.0,0.0,55,"transform/3[ysoserial.payloads.util.DOM,ysoserial.payloads.util.DTMAxisIterator,ysoserial.payloads.util.SerializationHandler]",0,0,1,2,0,0,3,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets$StubTransletPayload,"transform/2[com.sun.org.apache.xalan.internal.xsltc.DOM,com.sun.org.apache.xml.internal.serializer.SerializationHandler[]]",0.0,0.0,-1.0,0.0,51,"transform/2[ysoserial.payloads.util.DOM,ysoserial.payloads.util.SerializationHandler[]]",0,0,1,2,0,0,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\TestHarnessTest.java,ysoserial.payloads.TestHarnessTest,testHarnessClassLoaderFail/0,2.0,0.0,0.0,2.0,26,testHarnessClassLoaderFail/0,0,1,2,9,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\TestHarnessTest.java,ysoserial.payloads.TestHarnessTest,testHarnessExecFail/0,2.0,0.0,0.0,2.0,14,testHarnessExecFail/0,0,1,2,9,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\TestHarnessTest.java,ysoserial.payloads.TestHarnessTest,testHarnessExecPass/0,2.0,0.0,0.0,2.0,37,testHarnessExecPass/0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\exploit\JenkinsCLI.java,ysoserial.exploit.JenkinsCLI$112,newThread/1[java.lang.Runnable],1.0,0.0,0.0,1.0,114,newThread/1[java.lang.Runnable],0,0,1,5,1,1,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\JavaVersion.java,ysoserial.payloads.util.JavaVersion,getLocalVersion/0,2.0,3.0,0.6,2.0,17,getLocalVersion/0,2,1,2,12,2,3,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\JavaVersion.java,ysoserial.payloads.util.JavaVersion,isAnnInvHUniversalMethodImpl/0,0.0,4.0,1.0,0.0,31,isAnnInvHUniversalMethodImpl/0,4,1,5,4,1,1,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets,"createMap/2[java.lang.String,java.lang.Object]",0.0,0.0,-1.0,0.0,85,"createMap/2[java.lang.String,java.lang.Object]",4,0,1,5,1,1,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets,"createMemoitizedProxy/3[java.util.Map,java.lang.Class,java.lang.Class[]]",0.0,0.0,-1.0,0.0,65,"createMemoitizedProxy/3[java.util.Map,java.lang.Class,java.lang.Class[]]",0,2,1,3,1,0,3,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets,createMemoizedInvocationHandler/1[java.util.Map],2.0,1.0,0.33333334,2.0,70,createMemoizedInvocationHandler/1[java.util.Map],5,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets,"createProxy/3[java.lang.reflect.InvocationHandler,java.lang.Class,java.lang.Class[]]",5.0,0.0,0.0,2.0,75,"createProxy/3[java.lang.reflect.InvocationHandler,java.lang.Class,java.lang.Class[]]",1,0,2,8,1,1,3,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets,createTemplatesImpl/1[java.lang.String],4.0,0.0,0.0,4.0,92,createTemplatesImpl/1[java.lang.String],13,2,2,6,2,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets,"createTemplatesImpl/4[java.lang.String,java.lang.Class,java.lang.Class,java.lang.Class]",12.0,0.0,0.0,6.0,105,"createTemplatesImpl/4[java.lang.String,java.lang.Class,java.lang.Class,java.lang.Class]",0,2,1,16,1,5,4,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets,"makeMap/2[java.lang.Object,java.lang.Object]",9.0,0.0,0.0,6.0,136,"makeMap/2[java.lang.Object,java.lang.Object]",4,1,2,18,1,4,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets,(initializer36),2.0,0.0,0.0,1.0,36,(initializer 36),0,0,1,4,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections6.java,ysoserial.payloads.CommonsCollections6,getObject/1[java.lang.String],19.0,0.0,0.0,7.0,40,getObject/1[java.lang.String],0,0,5,42,1,13,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections6.java,ysoserial.payloads.CommonsCollections6,main/1[java.lang.String[]],0.0,1.0,1.0,0.0,106,main/1[java.lang.String[]],0,1,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\FileUpload1.java,ysoserial.payloads.FileUpload1,"copyAndDelete/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,78,"copyAndDelete/2[java.lang.String,java.lang.String]",1,1,1,3,1,0,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\FileUpload1.java,ysoserial.payloads.FileUpload1,getObject/1[java.lang.String],7.0,0.0,0.0,2.0,47,getObject/1[java.lang.String],0,3,11,21,5,1,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\FileUpload1.java,ysoserial.payloads.FileUpload1,main/1[java.lang.String[]],0.0,1.0,1.0,0.0,111,main/1[java.lang.String[]],0,1,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\FileUpload1.java,ysoserial.payloads.FileUpload1,"makePayload/4[int,java.lang.String,java.lang.String,byte[]]",7.0,0.0,0.0,4.0,95,"makePayload/4[int,java.lang.String,java.lang.String,byte[]]",3,3,1,12,1,5,4,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\FileUpload1.java,ysoserial.payloads.FileUpload1,release/1[org.apache.commons.fileupload.disk.DiskFileItem],1.0,0.0,0.0,1.0,72,release/1[ysoserial.payloads.DiskFileItem],0,1,1,4,0,1,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\FileUpload1.java,ysoserial.payloads.FileUpload1,"write/2[java.lang.String,byte[]]",1.0,0.0,0.0,1.0,84,"write/2[java.lang.String,byte[]]",1,1,1,3,1,0,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\FileUpload1.java,ysoserial.payloads.FileUpload1,"writePre131/2[java.lang.String,byte[]]",1.0,0.0,0.0,1.0,90,"writePre131/2[java.lang.String,byte[]]",1,1,1,3,1,0,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Hibernate1.java,ysoserial.payloads.Hibernate1,getDependencies/0,1.0,0.0,0.0,1.0,42,getDependencies/0,1,0,2,6,2,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Hibernate1.java,ysoserial.payloads.Hibernate1,getObject/1[java.lang.String],1.0,0.0,0.0,1.0,99,getObject/1[java.lang.String],0,3,1,5,1,2,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Hibernate1.java,ysoserial.payloads.Hibernate1,main/1[java.lang.String[]],0.0,1.0,1.0,0.0,130,main/1[java.lang.String[]],0,1,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Hibernate1.java,ysoserial.payloads.Hibernate1,"makeCaller/2[java.lang.Object,java.lang.Object]",13.0,0.0,0.0,6.0,106,"makeCaller/2[java.lang.Object,java.lang.Object]",2,5,1,15,1,4,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Hibernate1.java,ysoserial.payloads.Hibernate1,"makeGetter/2[java.lang.Class,java.lang.String]",1.0,0.0,0.0,1.0,58,"makeGetter/2[java.lang.Class,java.lang.String]",2,2,2,6,2,0,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Hibernate1.java,ysoserial.payloads.Hibernate1,"makeHibernate4Getter/2[java.lang.Class,java.lang.String]",7.0,0.0,0.0,5.0,67,"makeHibernate4Getter/2[java.lang.Class,java.lang.String]",1,0,2,14,1,6,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Hibernate1.java,ysoserial.payloads.Hibernate1,"makeHibernate5Getter/2[java.lang.Class,java.lang.String]",6.0,0.0,0.0,4.0,87,"makeHibernate5Getter/2[java.lang.Class,java.lang.String]",1,0,1,9,1,5,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JBossInterceptors1.java,ysoserial.payloads.JBossInterceptors1$67,createFor/1[org.jboss.interceptor.spi.metadata.InterceptorReference],0.0,0.0,-1.0,0.0,69,createFor/1[ysoserial.payloads.InterceptorReference],0,0,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Spring2.java,ysoserial.payloads.Spring2,getObject/1[java.lang.String],6.0,0.0,0.0,4.0,48,getObject/1[java.lang.String],0,7,1,11,1,5,1,0,0,0
